start,kwh
2024-12-11T20:00:00Z,71
2024-12-12T00:00:00Z,58
2024-12-12T04:00:00Z,51
2024-12-12T08:00:00Z,65
2024-12-12T12:00:00Z,47
2024-12-12T16:00:00Z,96
2024-12-12T20:00:00Z,65
2024-12-13T00:00:00Z,64
2024-12-13T04:00:00Z,47
2024-12-13T08:00:00Z,51
2024-12-13T12:00:00Z,61
2024-12-13T16:00:00Z,49
2024-12-13T20:00:00Z,78
2024-12-14T00:00:00Z,80
2024-12-14T04:00:00Z,56
2024-12-14T08:00:00Z,48
2024-12-14T12:00:00Z,86
2024-12-14T16:00:00Z,57
2024-12-14T20:00:00Z,63
2024-12-15T00:00:00Z,49
2024-12-15T04:00:00Z,21
2024-12-15T08:00:00Z,42
2024-12-15T12:00:00Z,93
2024-12-15T16:00:00Z,33
2024-12-15T20:00:00Z,71
2024-12-16T00:00:00Z,43
2024-12-16T04:00:00Z,56
2024-12-16T08:00:00Z,91
2024-12-16T12:00:00Z,54
2024-12-16T16:00:00Z,55
2024-12-16T20:00:00Z,62
2024-12-17T00:00:00Z,64
2024-12-17T04:00:00Z,86
2024-12-17T08:00:00Z,37
2024-12-17T12:00:00Z,66
2024-12-17T16:00:00Z,61
2024-12-17T20:00:00Z,66
2024-12-18T00:00:00Z,27
2024-12-18T04:00:00Z,49
2024-12-18T08:00:00Z,54
2024-12-18T12:00:00Z,75
2024-12-18T16:00:00Z,72
2024-12-18T20:00:00Z,85
2024-12-19T00:00:00Z,72
2024-12-19T04:00:00Z,70
2024-12-19T08:00:00Z,66
2024-12-19T12:00:00Z,67
2024-12-19T16:00:00Z,58
2024-12-19T20:00:00Z,66
2024-12-20T00:00:00Z,73
2024-12-20T04:00:00Z,83
2024-12-20T08:00:00Z,27
2024-12-20T12:00:00Z,52
2024-12-20T16:00:00Z,96
2024-12-20T20:00:00Z,69
2024-12-21T00:00:00Z,64
2024-12-21T04:00:00Z,92
2024-12-21T08:00:00Z,85
2024-12-21T12:00:00Z,88
2024-12-21T16:00:00Z,100
2024-12-21T20:00:00Z,65
2024-12-22T00:00:00Z,75
2024-12-22T04:00:00Z,46
2024-12-22T08:00:00Z,57
2024-12-22T12:00:00Z,53
2024-12-22T16:00:00Z,68
2024-12-22T20:00:00Z,30
2024-12-23T00:00:00Z,80
2024-12-23T04:00:00Z,78
2024-12-23T08:00:00Z,44
2024-12-23T12:00:00Z,31
2024-12-23T16:00:00Z,60
2024-12-23T20:00:00Z,63
2024-12-24T00:00:00Z,37
2024-12-24T04:00:00Z,54
2024-12-24T08:00:00Z,42
2024-12-24T12:00:00Z,70
2024-12-24T16:00:00Z,85
2024-12-24T20:00:00Z,52
2024-12-25T00:00:00Z,64
2024-12-25T04:00:00Z,72
2024-12-25T08:00:00Z,42
2024-12-25T12:00:00Z,61
2024-12-25T16:00:00Z,55
2024-12-25T20:00:00Z,87
2024-12-26T00:00:00Z,55
2024-12-26T04:00:00Z,51
2024-12-26T08:00:00Z,37
2024-12-26T12:00:00Z,48
2024-12-26T16:00:00Z,47
2024-12-26T20:00:00Z,40
2024-12-27T00:00:00Z,62
2024-12-27T04:00:00Z,49
2024-12-27T08:00:00Z,66
2024-12-27T12:00:00Z,52
2024-12-27T16:00:00Z,66
2024-12-27T20:00:00Z,36
2024-12-28T00:00:00Z,80
2024-12-28T04:00:00Z,55
2024-12-28T08:00:00Z,101
2024-12-28T12:00:00Z,76
2024-12-28T16:00:00Z,57
2024-12-28T20:00:00Z,69
2024-12-29T00:00:00Z,73
2024-12-29T04:00:00Z,52
2024-12-29T08:00:00Z,73
2024-12-29T12:00:00Z,68
2024-12-29T16:00:00Z,30
2024-12-29T20:00:00Z,34
2024-12-30T00:00:00Z,22
2024-12-30T04:00:00Z,82
2024-12-30T08:00:00Z,65
2024-12-30T12:00:00Z,62
2024-12-30T16:00:00Z,66
2024-12-30T20:00:00Z,77
2024-12-31T00:00:00Z,63
2024-12-31T04:00:00Z,90
2024-12-31T08:00:00Z,50
2024-12-31T12:00:00Z,54
2024-12-31T16:00:00Z,51
2024-12-31T20:00:00Z,34
2025-01-01T00:00:00Z,56
2025-01-01T04:00:00Z,62
2025-01-01T08:00:00Z,96
2025-01-01T12:00:00Z,68
2025-01-01T16:00:00Z,66
2025-01-01T20:00:00Z,58
2025-01-02T00:00:00Z,53
2025-01-02T04:00:00Z,95
2025-01-02T08:00:00Z,73
2025-01-02T12:00:00Z,31
2025-01-02T16:00:00Z,31
2025-01-02T20:00:00Z,97
2025-01-03T00:00:00Z,79
2025-01-03T04:00:00Z,27
2025-01-03T08:00:00Z,48
2025-01-03T12:00:00Z,95
2025-01-03T16:00:00Z,99
2025-01-03T20:00:00Z,50
2025-01-04T00:00:00Z,67
2025-01-04T04:00:00Z,42
2025-01-04T08:00:00Z,81
2025-01-04T12:00:00Z,22
2025-01-04T16:00:00Z,2
2025-01-04T20:00:00Z,90
2025-01-05T00:00:00Z,47
2025-01-05T04:00:00Z,87
2025-01-05T08:00:00Z,53
2025-01-05T12:00:00Z,67
2025-01-05T16:00:00Z,61
2025-01-05T20:00:00Z,47
2025-01-06T00:00:00Z,35
2025-01-06T04:00:00Z,94
2025-01-06T08:00:00Z,51
2025-01-06T12:00:00Z,67
2025-01-06T16:00:00Z,50
2025-01-06T20:00:00Z,47
2025-01-07T00:00:00Z,58
2025-01-07T04:00:00Z,60
2025-01-07T08:00:00Z,45
2025-01-07T12:00:00Z,45
2025-01-07T16:00:00Z,58
2025-01-07T20:00:00Z,88
2025-01-08T00:00:00Z,46
2025-01-08T04:00:00Z,41
2025-01-08T08:00:00Z,70
2025-01-08T12:00:00Z,97
2025-01-08T16:00:00Z,83
2025-01-08T20:00:00Z,71
2025-01-09T00:00:00Z,27
2025-01-09T04:00:00Z,48
2025-01-09T08:00:00Z,33
2025-01-09T12:00:00Z,21
2025-01-09T16:00:00Z,79
2025-01-09T20:00:00Z,39
2025-01-10T00:00:00Z,72
2025-01-10T04:00:00Z,56
2025-01-10T08:00:00Z,50
2025-01-10T12:00:00Z,58
2025-01-10T16:00:00Z,53
2025-01-10T20:00:00Z,89
2025-01-11T00:00:00Z,26
2025-01-11T04:00:00Z,63
2025-01-11T08:00:00Z,76
2025-01-11T12:00:00Z,56
2025-01-11T16:00:00Z,41
2025-01-11T20:00:00Z,80
2025-01-12T00:00:00Z,59
2025-01-12T04:00:00Z,78
2025-01-12T08:00:00Z,61
2025-01-12T12:00:00Z,59
2025-01-12T16:00:00Z,86
2025-01-12T20:00:00Z,55
2025-01-13T00:00:00Z,59
2025-01-13T04:00:00Z,62
2025-01-13T08:00:00Z,92
2025-01-13T12:00:00Z,84
2025-01-13T16:00:00Z,39
2025-01-13T20:00:00Z,74
2025-01-14T00:00:00Z,88
2025-01-14T04:00:00Z,60
2025-01-14T08:00:00Z,84
2025-01-14T12:00:00Z,78
2025-01-14T16:00:00Z,61
2025-01-14T20:00:00Z,76
2025-01-15T00:00:00Z,30
2025-01-15T04:00:00Z,54
2025-01-15T08:00:00Z,70
2025-01-15T12:00:00Z,37
2025-01-15T16:00:00Z,82
2025-01-15T20:00:00Z,45
2025-01-16T00:00:00Z,58
2025-01-16T04:00:00Z,91
2025-01-16T08:00:00Z,49
2025-01-16T12:00:00Z,66
2025-01-16T16:00:00Z,81
2025-01-16T20:00:00Z,47
2025-01-17T00:00:00Z,65
2025-01-17T04:00:00Z,80
2025-01-17T08:00:00Z,43
2025-01-17T12:00:00Z,45
2025-01-17T16:00:00Z,63
2025-01-17T20:00:00Z,23
2025-01-18T00:00:00Z,70
2025-01-18T04:00:00Z,59
2025-01-18T08:00:00Z,67
2025-01-18T12:00:00Z,98
2025-01-18T16:00:00Z,48
2025-01-18T20:00:00Z,54
2025-01-19T00:00:00Z,77
2025-01-19T04:00:00Z,57
2025-01-19T08:00:00Z,50
2025-01-19T12:00:00Z,52
2025-01-19T16:00:00Z,53
2025-01-19T20:00:00Z,25
2025-01-20T00:00:00Z,39
2025-01-20T04:00:00Z,77
2025-01-20T08:00:00Z,57
2025-01-20T12:00:00Z,66
2025-01-20T16:00:00Z,71
2025-01-20T20:00:00Z,52
2025-01-21T00:00:00Z,66
2025-01-21T04:00:00Z,55
2025-01-21T08:00:00Z,44
2025-01-21T12:00:00Z,92
2025-01-21T16:00:00Z,53
2025-01-21T20:00:00Z,73
2025-01-22T00:00:00Z,87
2025-01-22T04:00:00Z,16
2025-01-22T08:00:00Z,49
2025-01-22T12:00:00Z,40
2025-01-22T16:00:00Z,84
2025-01-22T20:00:00Z,60
2025-01-23T00:00:00Z,81
2025-01-23T04:00:00Z,76
2025-01-23T08:00:00Z,51
2025-01-23T12:00:00Z,53
2025-01-23T16:00:00Z,74
2025-01-23T20:00:00Z,96
2025-01-24T00:00:00Z,53
2025-01-24T04:00:00Z,38
2025-01-24T08:00:00Z,117
2025-01-24T12:00:00Z,27
2025-01-24T16:00:00Z,60
2025-01-24T20:00:00Z,110
2025-01-25T00:00:00Z,73
2025-01-25T04:00:00Z,53
2025-01-25T08:00:00Z,63
2025-01-25T12:00:00Z,84
2025-01-25T16:00:00Z,38
2025-01-25T20:00:00Z,67
2025-01-26T00:00:00Z,13
2025-01-26T04:00:00Z,38
2025-01-26T08:00:00Z,40
2025-01-26T12:00:00Z,70
2025-01-26T16:00:00Z,58
2025-01-26T20:00:00Z,63
2025-01-27T00:00:00Z,53
2025-01-27T04:00:00Z,56
2025-01-27T08:00:00Z,45
2025-01-27T12:00:00Z,64
2025-01-27T16:00:00Z,87
2025-01-27T20:00:00Z,63
2025-01-28T00:00:00Z,72
2025-01-28T04:00:00Z,9
2025-01-28T08:00:00Z,57
2025-01-28T12:00:00Z,33
2025-01-28T16:00:00Z,63
2025-01-28T20:00:00Z,96
2025-01-29T00:00:00Z,82
2025-01-29T04:00:00Z,89
2025-01-29T08:00:00Z,65
2025-01-29T12:00:00Z,72
2025-01-29T16:00:00Z,65
2025-01-29T20:00:00Z,61
2025-01-30T00:00:00Z,73
2025-01-30T04:00:00Z,52
2025-01-30T08:00:00Z,56
2025-01-30T12:00:00Z,45
2025-01-30T16:00:00Z,71
2025-01-30T20:00:00Z,18
2025-01-31T00:00:00Z,79
2025-01-31T04:00:00Z,60
2025-01-31T08:00:00Z,53
2025-01-31T12:00:00Z,55
2025-01-31T16:00:00Z,66
2025-01-31T20:00:00Z,37
2025-02-01T00:00:00Z,98
2025-02-01T04:00:00Z,41
2025-02-01T08:00:00Z,45
2025-02-01T12:00:00Z,74
2025-02-01T16:00:00Z,42
2025-02-01T20:00:00Z,65
2025-02-02T00:00:00Z,73
2025-02-02T04:00:00Z,61
2025-02-02T08:00:00Z,57
2025-02-02T12:00:00Z,63
2025-02-02T16:00:00Z,65
2025-02-02T20:00:00Z,39
2025-02-03T00:00:00Z,63
2025-02-03T04:00:00Z,82
2025-02-03T08:00:00Z,69
2025-02-03T12:00:00Z,62
2025-02-03T16:00:00Z,44
2025-02-03T20:00:00Z,50
